eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,5.405405e-01,1.599099e-01,20,37,4.701738,
1.5000,3.773585e-01,1.194969e-01,20,53,4.691777,
2.0000,3.389831e-01,1.016949e-01,20,59,4.689501,
2.5000,9.900990e-02,3.032178e-02,20,202,4.686774,
3.0000,5.333333e-02,1.522222e-02,20,375,4.682550,
3.5000,2.000000e-02,5.500000e-03,10,500,4.685724,
4.0000,1.000000e-02,2.333333e-03,5,500,4.681800,
4.5000,8.000000e-03,1.166667e-03,4,500,4.675488,
5.0000,0.000000e+00,0.000000e+00,0,500,4.680593,
5.5000,0.000000e+00,0.000000e+00,0,500,4.679331,
