eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.000000e+00,4.287500e-01,20,20,41.718648,
1.25,1.000000e+00,4.187500e-01,20,20,41.632426,
1.50,1.000000e+00,4.366667e-01,20,20,41.515084,
1.75,1.000000e+00,4.095833e-01,20,20,41.654622,
2.00,1.000000e+00,4.429167e-01,20,20,41.601136,
2.25,1.000000e+00,3.729167e-01,20,20,41.724938,
2.50,1.000000e+00,3.800000e-01,20,20,41.869539,
2.75,1.000000e+00,3.750000e-01,20,20,42.105144,
3.00,1.000000e+00,3.300000e-01,20,20,42.147115,
3.25,1.000000e+00,3.591667e-01,20,20,42.079694,
3.50,1.000000e+00,3.116667e-01,20,20,41.880144,
3.75,1.000000e+00,2.758333e-01,20,20,41.706928,
4.00,1.000000e+00,3.000000e-01,20,20,41.610252,
4.25,9.523810e-01,2.380952e-01,20,21,41.603223,
4.50,1.000000e+00,1.933333e-01,20,20,41.564254,
4.75,1.000000e+00,2.287500e-01,20,20,41.541159,
5.00,9.090909e-01,2.242424e-01,20,22,41.563460,
5.25,8.695652e-01,1.362319e-01,20,23,41.556312,
5.50,8.695652e-01,1.300725e-01,20,23,41.588510,
5.75,8.000000e-01,1.260000e-01,20,25,41.550824,
6.00,8.333333e-01,1.104167e-01,20,24,41.583196,
6.25,5.555556e-01,7.685185e-02,20,36,41.487748,
6.50,4.347826e-01,2.934783e-02,20,46,41.388766,
6.75,3.174603e-01,4.206349e-02,20,63,41.386522,
7.00,2.631579e-01,2.225877e-02,20,76,41.333231,
7.25,2.597403e-01,1.645022e-02,20,77,41.345205,
7.50,9.478673e-02,1.204581e-02,20,211,41.302847,
7.75,6.920415e-02,6.401384e-03,20,289,41.322359,
