eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,1.000000e+00,4.971774e-01,20,20,64.648707,
1.5000,1.000000e+00,4.848790e-01,20,20,64.311679,
2.0000,1.000000e+00,4.506048e-01,20,20,64.325531,
2.5000,1.000000e+00,4.207661e-01,20,20,64.246115,
3.0000,1.000000e+00,4.125000e-01,20,20,64.314037,
3.5000,9.090909e-01,3.207478e-01,20,22,64.250215,
4.0000,7.692308e-01,1.983561e-01,20,26,64.285355,
4.5000,6.896552e-01,1.539210e-01,20,29,64.525749,
5.0000,2.597403e-01,6.079807e-02,20,77,64.270407,
5.5000,1.030928e-01,2.007815e-02,20,194,64.240215,
