eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,8.000000e-01,2.943750e-01,20,25,6.031194,
1.5000,9.523810e-01,3.236607e-01,20,21,6.085405,
2.0000,8.333333e-01,2.584635e-01,20,24,5.924634,
2.5000,6.666667e-01,1.682292e-01,20,30,5.885246,
3.0000,6.060606e-01,1.429924e-01,20,33,5.898340,
3.5000,4.545455e-01,7.386364e-02,20,44,5.900121,
4.0000,2.083333e-01,4.785156e-02,20,96,5.897811,
4.5000,1.162791e-01,1.716933e-02,20,172,5.897504,
5.0000,5.102041e-02,8.769133e-03,20,392,5.893678,
5.5000,1.200000e-02,1.875000e-03,6,500,5.908359,
