eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,1.000000e+00,4.864583e-01,30,30,24.196766,
1.5000,1.000000e+00,4.753906e-01,30,30,24.179856,
2.0000,1.000000e+00,4.739583e-01,30,30,24.196360,
2.5000,1.000000e+00,4.747396e-01,30,30,24.193931,
3.0000,1.000000e+00,4.716146e-01,30,30,24.183249,
3.5000,1.000000e+00,4.540365e-01,30,30,24.155463,
4.0000,1.000000e+00,4.269531e-01,30,30,24.181396,
4.5000,1.000000e+00,4.372396e-01,30,30,24.210191,
5.0000,1.000000e+00,4.037760e-01,30,30,24.208756,
