eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,8.333333e-01,2.418155e-01,20,24,11.505552,
1.5000,7.692308e-01,2.122253e-01,20,26,11.596584,
2.0000,5.555556e-01,1.433532e-01,20,36,11.592172,
2.5000,5.405405e-01,1.013514e-01,20,37,11.512317,
3.0000,3.076923e-01,4.890110e-02,20,65,11.512344,
3.5000,2.298851e-01,3.838259e-02,20,87,11.496326,
4.0000,1.169591e-01,1.441103e-02,20,171,11.514017,
4.5000,5.333333e-02,7.714286e-03,20,375,11.512333,
5.0000,1.000000e-02,1.500000e-03,5,500,11.516472,
5.5000,4.000000e-03,2.142857e-04,2,500,11.504564,
