eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.000000e+00,5.062500e-01,20,20,21.720243,50.00
1.50,1.000000e+00,4.796875e-01,20,20,21.728491,50.00
2.00,1.000000e+00,4.796875e-01,20,20,22.848025,50.00
2.50,1.000000e+00,4.578125e-01,20,20,21.398056,50.00
3.00,1.000000e+00,5.109375e-01,20,20,21.369773,50.00
3.50,1.000000e+00,5.140625e-01,20,20,21.535414,50.00
4.00,1.000000e+00,5.203125e-01,20,20,22.554930,50.00
4.50,1.000000e+00,5.218750e-01,20,20,22.231699,50.00
5.00,1.000000e+00,5.281250e-01,20,20,21.766166,50.00
5.50,1.000000e+00,4.765625e-01,20,20,21.595693,50.00
6.00,1.000000e+00,5.140625e-01,20,20,21.533218,50.00
6.50,1.000000e+00,4.937500e-01,20,20,21.459930,50.00
7.00,1.000000e+00,5.359375e-01,20,20,21.494209,50.00
7.50,1.000000e+00,5.046875e-01,20,20,21.449760,50.00
