eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.000000e+00,4.878516e-01,100,100,5.024292,
1.25,1.000000e+00,4.847266e-01,100,100,5.074996,
1.50,1.000000e+00,4.769141e-01,100,100,5.011350,
1.75,1.000000e+00,4.730078e-01,100,100,5.003128,
2.00,1.000000e+00,4.582031e-01,100,100,5.003492,
2.25,1.000000e+00,4.625000e-01,100,100,5.015505,
2.50,1.000000e+00,4.510156e-01,100,100,5.010291,
2.75,1.000000e+00,4.435547e-01,100,100,5.008188,
3.00,1.000000e+00,4.435547e-01,100,100,5.005251,
3.25,1.000000e+00,4.318750e-01,100,100,5.012551,
3.50,9.803922e-01,4.261642e-01,100,102,5.012892,
3.75,9.900990e-01,4.004100e-01,100,101,5.008689,
4.00,9.900990e-01,4.086866e-01,100,101,5.013106,
4.25,9.345794e-01,3.411945e-01,100,107,5.014393,
4.50,9.345794e-01,3.244743e-01,100,107,5.065302,
4.75,8.333333e-01,2.757161e-01,100,120,5.021287,
5.00,6.622517e-01,2.126190e-01,100,151,5.015861,
5.25,5.319149e-01,1.578915e-01,100,188,5.012195,
