eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.0,1.0,0.4939453125,20,20,6.072045800010528,
0.25,1.0,0.490234375,20,20,6.383858999976155,
0.5,1.0,0.487890625,20,20,6.073863850002681,
0.75,1.0,0.49453125,20,20,6.440968150008075,
1.0,1.0,0.4939453125,20,20,6.071348400013221,
1.25,1.0,0.4861328125,20,20,6.524175700002388,
1.5,1.0,0.493359375,20,20,6.057749650017286,
1.75,1.0,0.471875,20,20,6.067497350005624,
2.0,1.0,0.480859375,20,20,6.067559499985009,
2.25,1.0,0.478125,20,20,6.079479299995683,
2.5,1.0,0.46640625,20,20,6.067405300007067,
2.75,1.0,0.4748046875,20,20,6.072026550009468,
3.0,1.0,0.4654296875,20,20,6.192970750015547,
3.25,1.0,0.4822265625,20,20,6.074579600010566,
3.5,1.0,0.4662109375,20,20,6.16192594998779,
3.75,1.0,0.46171875,20,20,6.204900550017101,
4.0,1.0,0.4517578125,20,20,6.1787746500044705,
4.25,1.0,0.4548828125,20,20,6.147529750006697,
4.5,1.0,0.467578125,20,20,6.144328600004201,
4.75,1.0,0.4572265625,20,20,6.088972449975927,
5.0,1.0,0.459765625,20,20,6.073811300007037,
5.25,1.0,0.428125,20,20,6.070356649996711,
