eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time,avg_iters
1.0,1.0,0.46393229166666666,30,30,289.44071709799266,
1.25,1.0,0.4596354166666667,30,30,289.23586506716674,
1.5,1.0,0.4557291666666667,30,30,289.2791635017299,
1.75,1.0,0.4427083333333333,30,30,291.104055333805,
2.0,1.0,0.46575520833333334,30,30,291.9130390655482,
2.25,1.0,0.449609375,30,30,290.79719733272213,
2.5,1.0,0.44635416666666666,30,30,290.3422093664024,
2.75,1.0,0.42994791666666665,30,30,289.3389494342652,
3.0,1.0,0.444921875,30,30,289.1845708329735,
3.25,1.0,0.40143229166666666,30,30,289.4893301005747,
3.5,1.0,0.4044270833333333,30,30,288.8365716343591,
3.75,1.0,0.3514322916666667,30,30,288.85395349934697,
4.0,1.0,0.4036458333333333,30,30,288.5023563348417,
4.25,1.0,0.350390625,30,30,289.079226066436,
4.5,1.0,0.384765625,30,30,289.280641732815,
4.75,1.0,0.29908854166666665,30,30,288.77075083243346,
5.0,1.0,0.3497395833333333,30,30,288.63972923233325,
5.25,0.967741935483871,0.23928931451612903,30,31,288.7585490328005,
