eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.0000e+00,4.7145e-01,100,100,14.475456,
1.25,1.0000e+00,4.6699e-01,100,100,14.515154,
1.50,1.0000e+00,4.7395e-01,100,100,14.498602,
1.75,1.0000e+00,4.5996e-01,100,100,14.478724,
2.00,1.0000e+00,4.6859e-01,100,100,14.422666,
2.25,1.0000e+00,4.5402e-01,100,100,14.473284,
2.50,1.0000e+00,4.5320e-01,100,100,14.460581,
2.75,1.0000e+00,4.4555e-01,100,100,14.472658,
3.00,1.0000e+00,4.3578e-01,100,100,14.484517,
3.25,1.0000e+00,4.2512e-01,100,100,14.454689,
3.50,1.0000e+00,4.2453e-01,100,100,14.463945,
3.75,1.0000e+00,4.1746e-01,100,100,14.531695,
4.00,1.0000e+00,4.1250e-01,100,100,14.477744,
4.25,1.0000e+00,3.8309e-01,100,100,14.469593,
4.50,1.0000e+00,3.7641e-01,100,100,14.505883,
4.75,1.0000e+00,3.4273e-01,100,100,14.490888,
5.00,1.0000e+00,3.3813e-01,100,100,14.499343,
5.25,1.0000e+00,3.1645e-01,100,100,14.486237,
