eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.00,1.000000e+00,4.909375e-01,100,100,13.814828,
0.25,1.000000e+00,4.977539e-01,100,100,14.014897,
0.50,1.000000e+00,4.922461e-01,100,100,13.976039,
0.75,1.000000e+00,4.948242e-01,100,100,13.847967,
1.00,1.000000e+00,4.900195e-01,100,100,14.077501,
1.25,1.000000e+00,4.863477e-01,100,100,14.080097,
1.50,1.000000e+00,4.916797e-01,100,100,13.782841,
1.75,1.000000e+00,4.901563e-01,100,100,14.053752,
2.00,1.000000e+00,4.879297e-01,100,100,14.024348,
2.25,1.000000e+00,4.879297e-01,100,100,13.871675,
2.50,1.000000e+00,4.863086e-01,100,100,14.067376,
2.75,1.000000e+00,4.875586e-01,100,100,14.119037,
3.00,1.000000e+00,4.797070e-01,100,100,13.814978,
3.25,1.000000e+00,4.791797e-01,100,100,13.930702,
3.50,1.000000e+00,4.821289e-01,100,100,13.881064,
3.75,1.000000e+00,4.691992e-01,100,100,13.714251,
4.00,1.000000e+00,4.723438e-01,100,100,13.902897,
4.25,1.000000e+00,4.717383e-01,100,100,13.913959,
4.50,1.000000e+00,4.541602e-01,100,100,13.734925,
4.75,1.000000e+00,4.387305e-01,100,100,13.938283,
5.00,1.000000e+00,4.203320e-01,100,100,13.903494,
5.25,9.900990e-01,3.971612e-01,100,101,13.713879,
