eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
0.0,9.090909e-01,3.451705e-01,50,55,2.648283,
0.25,8.771930e-01,3.432018e-01,50,57,2.644383,
0.5,7.352941e-01,2.408088e-01,50,68,2.654953,
0.75,6.410256e-01,2.402845e-01,50,78,2.651308,
1.0,5.263158e-01,1.768914e-01,50,95,2.701333,
1.25,3.968254e-01,1.067708e-01,50,126,2.641204,
1.5,2.564103e-01,6.915064e-02,50,195,2.624622,
1.75,2.000000e-01,5.925000e-02,50,250,2.627389,
2.0,1.428571e-01,3.542411e-02,50,350,2.626431,
2.25,7.299270e-02,1.871578e-02,50,685,2.690050,
2.5,4.111842e-02,8.872584e-03,50,1216,2.646308,
2.75,2.254283e-02,3.983741e-03,50,2218,2.622632,
3.0,1.579779e-02,2.865818e-03,50,3165,2.637516,
3.25,5.983008e-03,1.171361e-03,50,8357,2.623824,
3.5,2.200000e-03,4.567708e-04,33,15000,2.623852,
3.75,8.000000e-04,1.072917e-04,12,15000,2.624463,
4.0,4.000000e-04,4.270833e-05,6,15000,2.631394,
4.25,2.000000e-04,7.812500e-06,3,15000,2.626588,
4.5,1.333333e-04,2.395833e-05,2,15000,2.632349,
4.75,6.666667e-05,2.083333e-06,1,15000,2.637222,
5.0,6.666667e-05,4.687500e-06,1,15000,2.618955,
5.25,0.000000e+00,0.000000e+00,0,15000,2.620619,
