eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.0000,8.000000e-01,2.393750e-01,20,25,11.517895,
1.5000,9.090909e-01,3.132102e-01,20,22,11.518093,
2.0000,7.142857e-01,2.087054e-01,20,28,11.495363,
2.5000,4.545455e-01,8.558239e-02,20,44,11.501208,
3.0000,4.444444e-01,8.402778e-02,20,45,11.461213,
3.5000,3.389831e-01,5.217161e-02,20,59,11.490865,
4.0000,9.852217e-02,1.354680e-02,20,203,11.478503,
4.5000,5.102041e-02,9.088010e-03,20,392,11.428419,
5.0000,1.000000e-02,1.375000e-03,5,500,11.427307,
5.5000,0.000000e+00,0.000000e+00,0,500,11.415063,
