eb_n0_db,bler,ber,num_errors,num_frames,avg_decode_time_ms,avg_iters
1.00,1.0000e+00,4.4883e-01,100,100,3.369383,
1.25,1.0000e+00,4.5180e-01,100,100,3.371563,
1.50,1.0000e+00,4.5734e-01,100,100,3.366052,
1.75,9.9010e-01,4.5088e-01,100,101,3.370892,
2.00,1.0000e+00,4.2781e-01,100,100,3.376457,
2.25,9.7087e-01,3.9427e-01,100,103,3.379146,
2.50,9.7087e-01,3.8145e-01,100,103,3.371836,
2.75,9.8039e-01,3.9323e-01,100,102,3.373587,
3.00,9.0909e-01,3.2216e-01,100,110,3.373505,
3.25,9.2593e-01,3.2190e-01,100,108,3.378195,
3.50,8.7719e-01,3.1188e-01,100,114,3.378565,
3.75,8.2645e-01,2.4471e-01,100,121,3.371216,
4.00,7.8125e-01,2.1338e-01,100,128,3.379899,
4.25,7.4074e-01,1.9230e-01,100,135,3.370297,
4.50,6.8493e-01,1.5122e-01,100,146,3.378758,
4.75,5.9172e-01,1.5080e-01,100,169,3.376545,
5.00,5.9524e-01,1.0821e-01,100,168,3.410464,
5.25,4.4444e-01,6.5729e-02,100,225,3.374485,
