method,slice,raw_B,comp_B,BPB,t_compress_s,t_decompress_s,throughput_MBps,lossless
GPTzip,1KB,1024,188,1.4688,17.7323,14.3363,0.0001,通过
GPTzip,10KB,10240,2335,1.8242,14.7182,14.725,0.0007,通过
GPTzip,100KB,102400,21519,1.6812,43.2535,49.9409,0.0024,通过
GPTzip,1MB,1048576,231641,1.7673,639.0464,1096.457,0.001641,通过
