method,slice,raw_B,comp_B,BPB,t_compress_s,t_decompress_s,throughput_MBps,lossless
Qwen2.5-0.5B,1KB,1024,56,0.4375,24.41,10.57,4.2e-05,通过
Qwen2.5-0.5B,10KB,10240,941,0.7352,2446.64,453.38,4e-06,通过
